Data_ID,Country_Code,Year,Country,Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha,GDP,Mortalilty,Fertility,Population,Trade_Import,Trade_Export,Total_Violent_fatalities
54,AFG,2014,Afghanistan,3825041,10121745,2204207,651.1583264,5.814,4.843,32758,7697178170,575347,7892
55,AFG,2015,Afghanistan,3311224,9279873,1947948,224,0,0,0,772286549,57144967,9334
56,AFG,2016,Afghanistan,3516596,10280711,1722741,224,0,0,0,6534140413,596455337,9696
57,IRQ,1961,Iraq,2280423,3312591,1784921,1076,0,0,0,0,0,0
58,IRQ,1962,Iraq,2704344,4024169,1866774,1076,0,0,0,0,0,0
59,IRQ,1963,Iraq,2072806,3109475,1860052,1076,0,0,0,0,0,0
60,IRQ,1964,Iraq,2475063,3582207,1752943,1076,0,0,0,0,0,0
61,IRQ,1965,Iraq,2799669,4106987,1978388,1076,0,0,0,0,0,0
62,IRQ,1966,Iraq,2708666,4172289,2061387,1076,0,0,0,0,0,0
63,IRQ,1967,Iraq,2837999,4638972,2100376,1076,0,0,0,0,0,0
64,IRQ,1968,Iraq,2776314,5268489,2076300,1076,0,0,0,0,0,0
65,IRQ,1969,Iraq,2517453,5166665,2152014,1076,0,0,0,0,0,0
66,IRQ,1970,Iraq,2453774,4820009,2789318,237.6740913,11.725,7.362,9918,0,0,0
67,IRQ,1971,Iraq,1849932,4771615,2563525,258.2872895,11.319,7.308,10256,0,0,0
68,IRQ,1972,Iraq,3075152,6855086,2440220,251.0060096,10.929,7.234,10600,0,0,0
69,IRQ,1973,Iraq,2069536,4465387,2286060,304.6635701,10.556,7.153,10951,0,0,0
70,IRQ,1974,Iraq,2503917,4592650,2615172,347.3340048,10.209,7.072,11312,0,0,0
71,IRQ,1975,Iraq,2344947,4323545,2446901,420.2061171,9.912,6.993,11685,0,0,0
72,IRQ,1976,Iraq,2506889,5458817,2896569,517.781906,9.7,6.915,12068,0,0,12
73,IRQ,1977,Iraq,1845162,5201019,2838326,542.3935682,9.587,6.834,12461,0,0,0
74,IRQ,1978,Iraq,2667005,5623113,3103389,665.0675072,9.567,6.748,12859,0,0,0
75,IRQ,1979,Iraq,2260077,4912320,2899962,865.4204249,9.621,6.658,13258,0,0,1
76,IRQ,1980,Iraq,2670896,5504720,2866057,919.9001254,9.703,6.569,13653,0,0,12
77,IRQ,1981,Iraq,2627325,5742680,3087625,801.8603747,9.754,6.485,14047,0,0,0
78,IRQ,1982,Iraq,2743975,6181100,3038774,819.5844081,9.727,6.407,14438,0,0,96
79,IRQ,1983,Iraq,2849850,5709690,2864930,760.9088471,9.591,6.338,14826,0,0,1
80,IRQ,1984,Iraq,1490553,5701200,3206830,769.6070798,9.338,6.276,15206,0,0,0
81,IRQ,1985,Iraq,3635737,8242661,4208321,775.1782125,8.981,6.22,15576,0,0,0
82,IRQ,1986,Iraq,3435170,7152600,4065730,835.8406551,8.553,6.164,15936,0,0,0
83,IRQ,1987,Iraq,2551665,6339355,3854384,1001.055189,8.106,6.105,16290,0,0,0
84,IRQ,1988,Iraq,3025720,7169180,3955751,1044.537988,7.685,6.039,16652,0,0,43
85,IRQ,1989,Iraq,2271084,6705325,3937546,966.3571319,7.312,5.965,17040,0,0,0
86,IRQ,1990,Iraq,3959531,8827430,4117413,977.6784752,6.996,5.882,17469,0,0,94
87,IRQ,1991,Iraq,3865607,6582254,3882551,333.2197435,6.738,5.794,17943,0,0,22738
88,IRQ,1992,Iraq,4555876,7432572,4110232,382.5932113,6.518,5.702,18458,0,0,385
89,IRQ,1993,Iraq,5317477,8585996,3973031,265.3009018,6.323,5.61,19012,0,0,108
90,IRQ,1994,Iraq,4299590,8100992,3982257,205.8544132,6.15,5.517,19597,0,0,202
91,IRQ,1995,Iraq,3916229,8100518,3975322,172.0431374,5.999,5.423,20208,0,0,816
92,IRQ,1996,Iraq,4124688,8665905,3970416,292.5059515,5.87,5.323,20846,0,0,538
93,IRQ,1997,Iraq,3562301,7955428,3907042,309.8830541,5.763,5.218,21509,0,0,2171
94,IRQ,1998,Iraq,3617889,8532125,3911520,383.1172961,5.678,5.107,22190,0,0,52
95,IRQ,1999,Iraq,3479736,7917813,3868937,648.4020923,5.615,4.995,22878,0,0,284
96,IRQ,2000,Iraq,3240606,6975225,3713507,717.0860494,5.575,4.888,23565,0,0,62
97,IRQ,2001,Iraq,3461937,8577725,3805300,729.1037005,5.561,4.792,24252,0,0,16
98,IRQ,2002,Iraq,4020773,10916146,4018403,699.1671223,5.571,4.715,24939,0,0,39
99,IRQ,2003,Iraq,3682258,8801366,3652089,645.2512541,5.6,4.658,25628,0,0,395
100,IRQ,2004,Iraq,3486231,8807154,3715502,995.3059856,5.641,4.623,26317,0,0,6443
101,IRQ,2005,Iraq,4588670,9600165,3788719,1342.837779,5.683,4.608,27008,0,0,6190
102,IRQ,2006,Iraq,3552804,9718252,3601561,1969.417253,5.711,4.61,27698,0,0,8672
103,IRQ,2007,Iraq,3617397,9241756,3591523,2638.623007,5.719,4.623,28390,0,0,9248
104,IRQ,2008,Iraq,2212106,7271670,3754086,3532.979235,5.7,4.639,29111,0,0,5285
105,IRQ,2009,Iraq,2062136,7478030,3849300,3667.91383,5.652,4.653,29895,0,0,3694
106,IRQ,2010,Iraq,3154483,9357972,4119392,3807.7803,5.578,4.659,30763,0,52482645596,2136
107,IRQ,2011,Iraq,3031955,9981017,4076319,4962.763045,5.484,4.654,31727,0,83225868809,1941
108,IRQ,2012,Iraq,2746281,10303672,4097112,5672.299781,5.381,4.637,32777,0,943692808,2810
109,IRQ,2013,Iraq,3695770,12439692,4153367,6112.878866,5.279,4.607,33883,0,89741882590,7462
110,IRQ,2014,Iraq,4153435,11950971,4093841,5691.052373,5.183,4.566,35006,3764476500,84506036565,14649
111,IRQ,2015,Iraq,1827164,5970376,3856183,1076,0,0,0,0,49402582280,11080
112,IRQ,2016,Iraq,1885189,6386335,3486728,1076,0,0,0,0,43774017809,16139
113,SYR,1961,Syria,2875603,3200105,2847878,1034,0,0,0,0,0,0
114,SYR,1962,Syria,3134898,4968403,2920926,1034,0,0,0,0,0,0
115,SYR,1963,Syria,3341742,4354928,3015986,1034,0,0,0,0,0,0
116,SYR,1964,Syria,3272513,4489483,2730534,1034,0,0,0,0,0,0
117,SYR,1965,Syria,2943974,4344269,2572823,1034,0,0,0,0,0,0
118,SYR,1966,Syria,2076714,2880923,2500890,1034,0,0,0,0,0,0
119,SYR,1967,Syria,2852910,4338422,2733383,1034,0,0,0,0,0,0
120,SYR,1968,Syria,2598846,3983595,2619237,1034,0,0,0,0,0,0
121,SYR,1969,Syria,2955550,4462067,2589436,1034,0,0,0,0,0,0
122,SYR,1970,Syria,3445196,3242795,3211813,276.4957247,10.967,7.572,6351,0,0,0
123,SYR,1971,Syria,2836941,4003397,3576826,313.8957525,10.484,7.566,6571,0,0,0
124,SYR,1972,Syria,3040606,6051881,3710084,350.1435692,10.017,7.556,6800,0,0,0
125,SYR,1973,Syria,3424054,3233974,3000388,362.3265113,9.568,7.537,7038,0,0,0
126,SYR,1974,Syria,3402957,6139767,3509210,561.5681179,9.138,7.51,7283,0,0,2
127,SYR,1975,Syria,3851472,6356803,3890871,704.7126285,8.73,7.472,7536,0,0,0
128,SYR,1976,Syria,4068701,7461205,3821355,819.5944274,8.34,7.422,7795,0,0,5
129,SYR,1977,Syria,3903272,6406559,3910164,867.3030721,7.966,7.359,8061,0,0,1
130,SYR,1978,Syria,3887449,7362461,3994324,1005.658515,7.606,7.285,8336,0,0,0
131,SYR,1979,Syria,3719400,6265773,4019007,1168.304901,7.26,7.197,8626,0,0,80
132,SYR,1980,Syria,4004565,9917706,4370759,1472.006105,6.927,7.094,8931,0,0,89
133,SYR,1981,Syria,3943939,9996781,4560302,1822.778453,6.608,6.976,9253,0,0,191
134,SYR,1982,Syria,4109193,9355015,4629049,1839.158627,6.304,6.843,9590,0,0,96
135,SYR,1983,Syria,4213979,9907864,4778259,1890.819338,6.015,6.695,9939,0,0,1
136,SYR,1984,Syria,3723305,8021578,4595922,1876.845387,5.743,6.534,10293,0,0,0
137,SYR,1985,Syria,4043157,8829856,4354633,943.8118625,5.489,6.359,10649,0,0,30
138,SYR,1986,Syria,3918918,9409291,4812949,885.6504466,5.253,6.168,11004,0,0,8
